1.0.1.1 1.0.1.255
1.0.2.1 1.0.3.255
1.0.8.1 1.0.15.255
1.0.32.1 1.0.63.255
1.1.0.1 1.1.0.255
1.1.2.1 1.1.3.255
1.1.4.1 1.1.7.255
1.1.8.1 1.1.15.255
1.1.8.1 1.1.8.255
1.1.9.1 1.1.9.255
1.1.10.1 1.1.11.255
1.1.12.1 1.1.15.255
1.1.16.1 1.1.31.255
1.1.32.1 1.1.63.255
1.2.0.1 1.2.1.255
1.2.2.1 1.2.2.255
1.2.4.1 1.2.4.255
1.2.5.1 1.2.5.255
1.2.6.1 1.2.7.255
1.2.8.1 1.2.15.255
1.2.8.1 1.2.8.255
1.2.9.1 1.2.9.255
1.2.10.1 1.2.11.255
1.2.12.1 1.2.15.255
1.2.16.1 1.2.31.255
1.2.32.1 1.2.63.255
1.2.64.1 1.2.127.255
1.3.0.1 1.3.255.255
1.4.1.1 1.4.1.255
1.4.2.1 1.4.3.255
1.4.4.1 1.4.7.255
1.4.4.1 1.4.4.255
1.4.5.1 1.4.5.255
1.4.6.1 1.4.7.255
1.4.8.1 1.4.15.255
1.4.16.1 1.4.31.255
1.4.32.1 1.4.63.255
1.4.64.1 1.4.127.255
1.8.0.1 1.8.255.255
1.8.0.1 1.8.63.255
1.8.64.1 1.8.95.255
1.8.96.1 1.8.99.255
1.8.100.1 1.8.101.255
1.8.112.1 1.8.127.255
1.8.128.1 1.8.143.255
1.8.144.1 1.8.147.255
1.8.148.1 1.8.149.255
1.8.154.1 1.8.155.255
1.8.156.1 1.8.159.255
1.8.160.1 1.8.191.255
1.8.192.1 1.8.223.255
1.8.224.1 1.8.239.255
1.8.244.1 1.8.247.255
1.8.248.1 1.8.255.255
1.10.0.1 1.10.7.255
1.10.8.1 1.10.9.255
1.10.11.1 1.10.11.255
1.10.12.1 1.10.15.255
1.10.16.1 1.10.31.255
1.10.32.1 1.10.63.255
1.10.64.1 1.10.127.255
1.12.0.1 1.15.255.255
1.24.0.1 1.31.255.255
1.45.0.1 1.45.255.255
1.48.0.1 1.51.255.255
1.48.0.1 1.49.255.255
1.50.0.1 1.50.255.255
1.51.0.1 1.51.255.255
1.56.0.1 1.63.255.255
1.68.0.1 1.71.255.255
1.80.0.1 1.95.255.255
1.80.0.1 1.87.255.255
1.88.0.1 1.91.255.255
1.92.0.1 1.93.255.255
1.94.0.1 1.95.255.255
1.116.0.1 1.119.255.255
1.116.0.1 1.117.255.255
1.118.0.1 1.118.255.255
1.119.0.1 1.119.127.255
1.119.128.1 1.119.255.255
1.180.0.1 1.183.255.255
1.184.0.1 1.185.255.255
1.188.0.1 1.191.255.255
1.192.0.1 1.199.255.255
1.202.0.1 1.203.255.255
1.204.0.1 1.207.255.255
14.0.0.1 14.0.7.255
14.0.12.1 14.0.15.255
14.1.0.1 14.1.3.255
14.1.24.1 14.1.27.255
14.1.96.1 14.1.99.255
14.1.108.1 14.1.111.255
14.16.0.1 14.31.255.255
14.102.128.1 14.102.131.255
14.102.156.1 14.102.159.255
14.102.180.1 14.102.183.255
14.103.0.1 14.103.255.255
14.104.0.1 14.111.255.255
14.112.0.1 14.127.255.255
14.130.0.1 14.131.255.255
14.134.0.1 14.135.255.255
14.144.0.1 14.159.255.255
14.192.4.1 14.192.7.255
14.192.56.1 14.192.63.255
14.192.60.1 14.192.63.255
14.192.76.1 14.192.79.255
14.196.0.1 14.197.255.255
14.204.0.1 14.205.255.255
14.208.0.1 14.223.255.255
20.134.160.1 20.134.175.255
20.139.160.1 20.139.175.255
27.0.128.1 27.0.135.255
27.0.128.1 27.0.131.255
27.0.132.1 27.0.135.255
27.0.160.1 27.0.167.255
27.0.160.1 27.0.163.255
27.0.164.1 27.0.167.255
27.0.188.1 27.0.191.255
27.0.204.1 27.0.207.255
27.0.208.1 27.0.211.255
27.0.212.1 27.0.215.255
27.8.0.1 27.15.255.255
27.16.0.1 27.31.255.255
27.34.232.1 27.34.239.255
27.36.0.1 27.39.255.255
27.40.0.1 27.47.255.255
27.50.40.1 27.50.47.255
27.50.128.1 27.50.255.255
27.54.72.1 27.54.79.255
27.54.152.1 27.54.159.255
27.54.192.1 27.54.255.255
27.98.208.1 27.98.223.255
27.98.224.1 27.98.255.255
27.99.128.1 27.99.255.255
27.103.0.1 27.103.255.255
